"勞保投保日數","11100,勞工","11100,單位","12540,勞工","12540,單位","13500,勞工","13500,單位","15840,勞工","15840,單位","16500,勞工","16500,單位","17280,勞工","17280,單位","17880,勞工","17880,單位","19047,勞工","19047,單位","20008,勞工","20008,單位","21009,勞工","21009,單位","22000,勞工","22000,單位","23100,勞工","23100,單位","24000,勞工","24000,單位","25250,勞工","25250,單位","26400,勞工","26400,單位","27470,勞工","27470,單位","27600,勞工","27600,單位","28800,勞工","28800,單位","30300,勞工","30300,單位","31800,勞工","31800,單位","33300,勞工","33300,單位","34800,勞工","34800,單位","36300,勞工","36300,單位","38200,勞工","38200,單位","40100,勞工","40100,單位","42000,勞工","42000,單位","43900,勞工","43900,單位","45800,勞工","45800,單位"
1,9,31,10,35,11,38,13,45,13,46,14,48,14,50,15,53,16,56,16,59,17,61,19,64,20,68,21,71,21,74,22,77,22,77,23,81,24,85,25,89,26,93,28,97,29,101,31,107,32,112,34,118,35,123,37,129
2,17,62,20,70,22,75,25,88,26,93,27,97,28,100,31,107,32,112,34,118,35,123,37,130,38,134,40,142,43,148,44,154,44,155,46,161,48,170,51,178,53,187,56,195,58,203,61,214,64,225,68,236,70,245,73,256
3,26,93,31,106,33,113,38,133,39,139,41,145,43,151,46,160,48,168,50,177,52,184,56,194,58,202,61,212,63,221,65,231,67,232,69,242,73,254,76,267,80,279,84,292,87,305,92,321,96,337,100,352,106,369,110,385
4,36,124,40,141,44,152,50,178,52,184,56,193,57,201,61,214,64,224,68,236,71,247,74,259,76,268,81,283,84,296,88,308,88,309,92,323,97,339,101,356,107,373,111,389,116,407,122,428,129,449,134,470,141,492,146,513
5,45,155,50,176,55,189,63,221,67,231,69,242,72,250,76,266,80,280,84,295,88,308,93,323,96,336,101,353,106,370,110,385,110,386,116,404,121,424,128,445,133,466,140,488,145,508,153,535,160,562,168,588,176,614,183,641
6,53,187,60,211,64,227,76,266,80,277,83,290,86,300,92,320,96,336,100,353,106,370,111,388,116,404,121,424,127,444,132,461,132,464,139,484,145,509,153,535,160,560,167,585,175,610,183,641,192,674,202,706,211,737,220,769
7,62,217,70,245,75,265,88,311,93,323,97,338,100,350,107,373,112,392,118,411,123,431,130,453,134,470,142,495,148,517,154,539,155,541,161,564,170,593,178,623,187,652,195,682,203,711,214,748,225,785,236,824,245,861,256,898
8,71,249,81,280,86,302,101,355,106,370,110,387,115,400,122,427,128,448,134,470,141,493,148,517,154,538,161,565,169,591,176,615,177,619,184,645,194,679,204,712,213,746,223,780,232,813,244,855,256,898,268,940,281,983,293,"1,025"
9,80,279,91,316,97,340,115,399,119,416,124,435,129,451,137,480,144,504,152,529,158,554,166,583,172,604,182,636,190,665,197,693,199,696,207,725,218,764,229,802,240,839,251,877,262,915,275,962,289,"1,010",302,"1,058",316,"1,106",329,"1,154"
10,88,311,100,351,108,379,127,444,132,463,139,484,143,501,153,533,160,561,168,588,176,616,184,647,192,672,202,707,212,740,219,769,220,772,230,806,242,849,254,890,266,933,278,974,290,"1,017",305,"1,069",321,"1,123",336,"1,176",351,"1,229",367,"1,283"
11,98,341,110,386,119,416,140,488,145,508,152,532,157,551,168,587,176,616,184,647,193,677,203,711,212,740,223,778,232,813,242,847,243,850,253,887,266,933,280,980,293,"1,025",307,"1,072",320,"1,118",336,"1,177",352,"1,235",370,"1,294",386,"1,352",403,"1,411"
12,107,373,120,421,130,454,152,532,158,554,166,580,171,601,183,640,192,672,202,706,212,740,221,776,230,806,242,849,253,887,264,923,265,927,276,968,291,"1,018",305,"1,068",320,"1,119",334,"1,169",348,"1,220",367,"1,284",385,"1,347",404,"1,412",421,"1,475",440,"1,539"
13,116,404,131,456,141,491,165,577,171,601,180,629,185,651,199,694,208,729,218,765,229,801,240,841,250,874,263,920,275,961,286,"1,000",287,"1,005",300,"1,048",315,"1,103",331,"1,157",346,"1,212",362,"1,267",377,"1,321",397,"1,391",417,"1,460",436,"1,528",457,"1,598",477,"1,667"
14,124,435,141,492,152,529,178,621,184,647,193,677,201,700,214,746,224,784,236,824,247,863,259,905,268,940,283,989,296,"1,035",308,"1,077",309,"1,082",323,"1,129",339,"1,188",356,"1,247",373,"1,306",389,"1,364",407,"1,423",428,"1,498",449,"1,572",470,"1,646",492,"1,720",513,"1,796"
15,133,466,151,527,163,567,190,665,199,693,207,725,215,751,229,800,240,840,252,883,264,924,277,970,288,"1,008",303,"1,060",316,"1,108",329,"1,154",332,"1,160",346,"1,210",363,"1,273",382,"1,335",399,"1,399",418,"1,462",435,"1,525",458,"1,605",481,"1,684",504,"1,764",527,"1,844",550,"1,923"
